Sample,User ID,Gender,Age,Number of Repetitions,Total Time (s),Mean Time Between Repetitions (s),Mean Force (N),Mean Power (W)
16,16,Female,28,0,29.953,#N/A,#N/A,#N/A
29,29,Female,18,0,20.602,#N/A,#N/A,#N/A
42,42,Female,25,0,27.034,#N/A,#N/A,#N/A
52,52,Male,55,0,51.729,#N/A,#N/A,#N/A
72,72,Female,25,0,30.069,#N/A,#N/A,#N/A
76,76,Female,46,0,38.853,#N/A,#N/A,#N/A
90,90,Male,27,0,29.188,#N/A,#N/A,#N/A
101,101,Female,26,0,40.303,#N/A,#N/A,#N/A
111,111,Male,55,0,56.354,#N/A,#N/A,#N/A
126,126,Female,23,0,54.076,#N/A,#N/A,#N/A
131,131,Female,25,0,29.682,#N/A,#N/A,#N/A
132,132,Female,28,0,61.261,#N/A,#N/A,#N/A
134,134,Female,38,0,1.671,#N/A,#N/A,#N/A
162,162,Male,46,0,41.661,#N/A,#N/A,#N/A
184,184,Female,35,0,34.99,#N/A,#N/A,#N/A
200,200,Female,25,0,30.881,#N/A,#N/A,#N/A
