Sample,Classificação,Total Time (s),Picos Permissivos,Detalhe
2,Exercício realizado,29.13,4,"picos_permissivos=4, prominence_média=0.0666"
15,Exercício realizado,34.33,8,"picos_permissivos=8, prominence_média=0.0299"
16,Exercício não realizado,29.95,2,"picos_permissivos=2, mean_magnitude=9.613"
17,Exercício realizado,26.37,3,"picos_permissivos=3, prominence_média=0.0748"
24,Exercício realizado,39.42,5,"picos_permissivos=5, prominence_média=0.0206"
25,Exercício realizado,79.42,9,"picos_permissivos=9, prominence_média=0.0724"
27,Exercício realizado,29.83,6,"picos_permissivos=6, prominence_média=0.0322"
29,Exercício não realizado,20.6,2,"picos_permissivos=2, mean_magnitude=9.664"
32,Exercício realizado,29.25,35,"picos_permissivos=35, prominence_média=0.0493"
33,Exercício realizado,34.72,5,"picos_permissivos=5, prominence_média=0.2256"
34,Exercício realizado,32.12,4,"picos_permissivos=4, prominence_média=0.0372"
40,Exercício realizado,45.14,4,"picos_permissivos=4, prominence_média=0.0461"
42,Exercício não realizado,27.03,2,"picos_permissivos=2, mean_magnitude=9.633"
48,Exercício realizado,31.54,8,"picos_permissivos=8, prominence_média=0.0405"
51,Exercício realizado,32.1,4,"picos_permissivos=4, prominence_média=0.0663"
52,Exercício não realizado,51.73,1,"picos_permissivos=1, mean_magnitude=9.704"
55,Exercício realizado,33.47,3,"picos_permissivos=3, prominence_média=0.0822"
56,Exercício realizado,49.54,47,"picos_permissivos=47, prominence_média=0.2217"
63,Exercício realizado,53.58,4,"picos_permissivos=4, prominence_média=0.0420"
64,Exercício realizado,31.99,3,"picos_permissivos=3, prominence_média=0.0521"
66,Exercício realizado,30.39,7,"picos_permissivos=7, prominence_média=0.0407"
68,Exercício realizado,32.93,58,"picos_permissivos=58, prominence_média=0.2318"
70,Exercício realizado,50.34,5,"picos_permissivos=5, prominence_média=0.0337"
72,Exercício não realizado,30.07,2,"picos_permissivos=2, mean_magnitude=9.630"
73,Exercício realizado,37.04,24,"picos_permissivos=24, prominence_média=0.0328"
74,Exercício realizado,27.58,4,"picos_permissivos=4, prominence_média=0.0189"
76,Exercício não realizado,38.85,0,"picos_permissivos=0, mean_magnitude=9.700"
83,Exercício realizado,40.0,6,"picos_permissivos=6, prominence_média=0.0378"
89,Exercício realizado,34.85,52,"picos_permissivos=52, prominence_média=0.2725"
93,Exercício realizado,52.85,34,"picos_permissivos=34, prominence_média=0.3041"
101,Exercício não realizado,40.3,1,"picos_permissivos=1, mean_magnitude=9.702"
108,Exercício realizado,27.05,6,"picos_permissivos=6, prominence_média=0.0409"
110,Exercício realizado,54.16,3,"picos_permissivos=3, prominence_média=0.0144"
111,Exercício não realizado,56.35,0,"picos_permissivos=0, mean_magnitude=9.707"
116,Exercício realizado,29.96,4,"picos_permissivos=4, prominence_média=0.0241"
121,Exercício realizado,30.37,3,"picos_permissivos=3, prominence_média=0.0252"
123,Exercício realizado,37.53,3,"picos_permissivos=3, prominence_média=0.0235"
124,Exercício realizado,82.91,91,"picos_permissivos=91, prominence_média=0.0359"
126,Exercício não realizado,54.08,2,"picos_permissivos=2, mean_magnitude=9.682"
128,Exercício realizado,30.77,50,"picos_permissivos=50, prominence_média=0.2768"
131,Exercício não realizado,29.68,1,"picos_permissivos=1, mean_magnitude=9.692"
134,Gravação inválida,1.67,0,duração=1.7s
135,Exercício realizado,23.95,3,"picos_permissivos=3, prominence_média=0.0155"
138,Exercício realizado,34.71,59,"picos_permissivos=59, prominence_média=0.1975"
146,Exercício realizado,26.62,4,"picos_permissivos=4, prominence_média=0.0472"
147,Exercício realizado,61.76,6,"picos_permissivos=6, prominence_média=0.0702"
148,Exercício realizado,29.22,5,"picos_permissivos=5, prominence_média=0.0207"
155,Exercício realizado,21.45,3,"picos_permissivos=3, prominence_média=0.0610"
162,Exercício não realizado,41.66,2,"picos_permissivos=2, mean_magnitude=9.693"
165,Exercício realizado,31.83,60,"picos_permissivos=60, prominence_média=0.3030"
166,Exercício realizado,30.57,9,"picos_permissivos=9, prominence_média=0.0777"
171,Exercício realizado,33.21,3,"picos_permissivos=3, prominence_média=0.0453"
173,Exercício realizado,33.66,4,"picos_permissivos=4, prominence_média=0.0565"
176,Exercício realizado,34.77,7,"picos_permissivos=7, prominence_média=0.0238"
184,Exercício não realizado,34.99,1,"picos_permissivos=1, mean_magnitude=9.700"
192,Exercício realizado,28.37,42,"picos_permissivos=42, prominence_média=0.0804"
193,Exercício realizado,33.32,5,"picos_permissivos=5, prominence_média=0.1703"
196,Exercício realizado,70.91,10,"picos_permissivos=10, prominence_média=0.0658"
198,Exercício realizado,30.11,39,"picos_permissivos=39, prominence_média=0.0340"
199,Exercício realizado,24.32,47,"picos_permissivos=47, prominence_média=0.2859"
200,Exercício não realizado,30.88,1,"picos_permissivos=1, mean_magnitude=9.691"
