Sample,User ID,Gender,Age,Number of Repetitions,Total Time (s),Mean Time Between Repetitions (s),Mean Force (N),Mean Power (W)
1,1,Female,25,18,26.461,1.4012,553.1202,70961.3989
2,2,Male,27,4,29.131,6.0813,811.7685,111866.9544
3,3,Female,25,35,30.883,0.8683,543.4402,81566.8696
4,4,Female,28,6,29.38,4.6142,551.1127,78511.2889
5,5,Female,26,23,28.729,1.1333,550.7713,76354.1782
6,6,Female,27,17,28.975,1.6016,532.7374,74689.6795
7,7,Male,28,16,52.1,2.9531,856.0205,214912.9112
8,8,Female,25,41,34.335,0.825,542.4881,90262.9323
9,9,Female,27,25,27.049,1.0866,533.813,70033.875
10,10,Male,27,8,28.56,3.2984,749.5918,102836.2143
11,11,Male,27,53,38.736,0.725,717.4806,133192.8064
12,12,Female,23,36,54.253,1.4793,5873.2856,1528386.8495
13,13,Female,39,12,58.504,4.8597,541.3459,153034.9106
14,14,Female,27,24,37.881,1.5557,533.4478,98102.1139
15,15,Female,25,8,34.33,3.5916,570.4215,94707.4261
17,17,Female,27,3,26.374,7.371,525.1888,66059.194
18,18,Female,24,8,19.005,2.1037,553.4618,50014.3192
19,19,Female,27,20,49.283,2.2087,474.2502,113095.9272
20,20,Female,26,13,45.962,2.8728,498.4406,109794.9376
21,21,Female,27,5,43.728,7.0512,523.9838,108993.0973
22,22,Female,36,13,45.891,3.3123,577.74,127573.3537
23,23,Female,46,31,44.694,1.3788,484.3726,104780.6263
24,24,Female,35,5,39.417,6.3667,841.3426,160251.3037
25,25,Female,28,9,79.422,9.4074,5372.328,1216565.9155
26,26,Female,25,17,31.402,1.7054,543.3173,82727.7665
27,27,Female,27,6,29.827,4.392,531.601,76618.3149
28,28,Male,28,45,31.349,0.6804,853.4928,130493.759
30,30,Female,27,46,60.035,1.281,533.6863,155388.0353
31,31,Male,27,26,31.727,1.2169,756.4751,115675.6193
32,32,Male,57,32,29.252,0.8744,727.5528,103134.6544
33,33,Female,27,5,34.723,4.6402,524.3888,87198.0951
34,34,Male,29,4,32.118,6.4873,864.3723,133173.9981
35,35,Female,27,37,48.212,1.3117,468.96,108088.4714
36,36,Male,56,46,36.241,0.7881,710.8255,123922.4349
37,37,Female,27,32,33.791,0.9975,532.4124,87084.8999
38,38,Female,40,6,50.69,7.1108,695.7323,170004.9182
39,39,Female,44,56,61.814,1.0841,484.5083,144985.1477
40,40,Male,28,4,45.143,10.2253,859.5658,184484.0836
41,41,Female,25,10,32.983,3.1694,543.3123,86902.5019
43,43,Female,44,20,63.542,2.9943,479.118,145711.2193
44,44,Female,44,26,57.924,2.091,601.5203,168913.0681
45,45,Female,39,46,66.758,1.446,540.367,174143.6427
46,46,Female,25,33,31.433,0.9395,543.4817,82887.0698
47,47,Male,27,29,26.975,0.9083,748.0487,96722.5035
48,48,Female,28,8,31.541,3.2891,560.7609,84837.987
49,49,Female,44,4,58.227,11.6883,601.5294,169852.1759
50,50,Male,46,5,35.243,3.4553,436.7525,74651.3796
51,51,Female,29,4,32.102,6.383,509.6264,76930.3255
53,53,Male,29,12,34.148,2.6466,866.1538,142690.6591
54,54,Female,55,15,30.465,1.9407,649.2138,95756.9426
55,55,Male,27,3,33.465,10.674,743.5008,118684.5312
56,56,Female,30,45,49.541,1.098,756.8243,180303.9646
57,57,Female,27,39,31.524,0.8192,533.5906,81688.2622
58,58,Female,34,21,32.641,1.438,619.7795,97930.9238
59,59,Male,27,33,29.785,0.9228,757.1024,109559.5161
60,60,Male,27,10,34.596,3.2232,750.065,124331.8587
61,61,Female,24,40,46.496,1.1137,559.6924,125419.7291
62,62,Female,27,21,22.864,1.1096,533.9176,59518.8856
63,63,Female,36,4,53.578,10.0543,578.1448,148834.2279
64,64,Female,25,3,31.991,9.1925,540.1421,83493.0466
65,65,Female,38,16,59.697,3.7444,490.0879,140479.0649
66,66,Female,25,7,30.395,3.7272,538.8284,78895.1528
67,67,Female,27,22,27.488,1.1234,530.7384,70349.4278
